PassengerId,Pclass,Age,Sex,Fare,SibSp,Parch,Embarked
0,3,22.0,0,7.25,1,0,0
1,1,38.0,1,71.2833,1,0,1
2,3,26.0,1,7.925,0,0,0
3,1,35.0,1,53.1,1,0,0
4,3,35.0,0,8.05,0,0,0
5,3,28.0,0,8.4583,0,0,2
6,1,54.0,0,51.8625,0,0,0
7,3,2.0,0,21.075,3,1,0
8,3,27.0,1,11.1333,0,2,0
9,2,14.0,1,30.0708,1,0,1
10,3,4.0,1,16.7,1,1,0
11,1,58.0,1,26.55,0,0,0
12,3,20.0,0,8.05,0,0,0
13,3,39.0,0,31.275,1,5,0
14,3,14.0,1,7.8542,0,0,0
15,2,55.0,1,16.0,0,0,0
16,3,2.0,0,29.125,4,1,2
17,2,28.0,0,13.0,0,0,0
18,3,31.0,1,18.0,1,0,0
19,3,28.0,1,7.225,0,0,1
20,2,35.0,0,26.0,0,0,0
21,2,34.0,0,13.0,0,0,0
22,3,15.0,1,8.0292,0,0,2
23,1,28.0,0,35.5,0,0,0
24,3,8.0,1,21.075,3,1,0
25,3,38.0,1,31.3875,1,5,0
26,3,28.0,0,7.225,0,0,1
27,1,19.0,0,263.0,3,2,0
28,3,28.0,1,7.8792,0,0,2
29,3,28.0,0,7.8958,0,0,0
30,1,40.0,0,27.7208,0,0,1
31,1,28.0,1,146.5208,1,0,1
32,3,28.0,1,7.75,0,0,2
33,2,66.0,0,10.5,0,0,0
34,1,28.0,0,82.1708,1,0,1
35,1,42.0,0,52.0,1,0,0
36,3,28.0,0,7.2292,0,0,1
37,3,21.0,0,8.05,0,0,0
38,3,18.0,1,18.0,2,0,0
39,3,14.0,1,11.2417,1,0,1
40,3,40.0,1,9.475,1,0,0
41,2,27.0,1,21.0,1,0,0
42,3,28.0,0,7.8958,0,0,1
43,2,3.0,1,41.5792,1,2,1
44,3,19.0,1,7.8792,0,0,2
45,3,28.0,0,8.05,0,0,0
46,3,28.0,0,15.5,1,0,2
47,3,28.0,1,7.75,0,0,2
48,3,28.0,0,21.6792,2,0,1
49,3,18.0,1,17.8,1,0,0
50,3,7.0,0,39.6875,4,1,0
51,3,21.0,0,7.8,0,0,0
52,1,49.0,1,76.7292,1,0,1
53,2,29.0,1,26.0,1,0,0
54,1,65.0,0,61.9792,0,1,1
55,1,28.0,0,35.5,0,0,0
56,2,21.0,1,10.5,0,0,0
57,3,28.5,0,7.2292,0,0,1
58,2,5.0,1,27.75,1,2,0
59,3,11.0,0,46.9,5,2,0
60,3,22.0,0,7.2292,0,0,1
61,1,38.0,1,80.0,0,0,0
62,1,45.0,0,83.475,1,0,0
63,3,4.0,0,27.9,3,2,0
64,1,28.0,0,27.7208,0,0,1
65,3,28.0,0,15.2458,1,1,1
66,2,29.0,1,10.5,0,0,0
67,3,19.0,0,8.1583,0,0,0
68,3,17.0,1,7.925,4,2,0
69,3,26.0,0,8.6625,2,0,0
70,2,32.0,0,10.5,0,0,0
71,3,16.0,1,46.9,5,2,0
72,2,21.0,0,73.5,0,0,0
73,3,26.0,0,14.4542,1,0,1
74,3,32.0,0,56.4958,0,0,0
75,3,25.0,0,7.65,0,0,0
76,3,28.0,0,7.8958,0,0,0
77,3,28.0,0,8.05,0,0,0
78,2,0.83,0,29.0,0,2,0
79,3,30.0,1,12.475,0,0,0
80,3,22.0,0,9.0,0,0,0
81,3,29.0,0,9.5,0,0,0
82,3,28.0,1,7.7875,0,0,2
83,1,28.0,0,47.1,0,0,0
84,2,17.0,1,10.5,0,0,0
85,3,33.0,1,15.85,3,0,0
86,3,16.0,0,34.375,1,3,0
87,3,28.0,0,8.05,0,0,0
88,1,23.0,1,263.0,3,2,0
89,3,24.0,0,8.05,0,0,0
90,3,29.0,0,8.05,0,0,0
91,3,20.0,0,7.8542,0,0,0
92,1,46.0,0,61.175,1,0,0
93,3,26.0,0,20.575,1,2,0
94,3,59.0,0,7.25,0,0,0
95,3,28.0,0,8.05,0,0,0
96,1,71.0,0,34.6542,0,0,1
97,1,23.0,0,63.3583,0,1,1
98,2,34.0,1,23.0,0,1,0
99,2,34.0,0,26.0,1,0,0
100,3,28.0,1,7.8958,0,0,0
101,3,28.0,0,7.8958,0,0,0
102,1,21.0,0,77.2875,0,1,0
103,3,33.0,0,8.6542,0,0,0
104,3,37.0,0,7.925,2,0,0
105,3,28.0,0,7.8958,0,0,0
106,3,21.0,1,7.65,0,0,0
107,3,28.0,0,7.775,0,0,0
108,3,38.0,0,7.8958,0,0,0
109,3,28.0,1,24.15,1,0,2
110,1,47.0,0,52.0,0,0,0
111,3,14.5,1,14.4542,1,0,1
112,3,22.0,0,8.05,0,0,0
113,3,20.0,1,9.825,1,0,0
114,3,17.0,1,14.4583,0,0,1
115,3,21.0,0,7.925,0,0,0
116,3,70.5,0,7.75,0,0,2
117,2,29.0,0,21.0,1,0,0
118,1,24.0,0,247.5208,0,1,1
119,3,2.0,1,31.275,4,2,0
120,2,21.0,0,73.5,2,0,0
121,3,28.0,0,8.05,0,0,0
122,2,32.5,0,30.0708,1,0,1
123,2,32.5,1,13.0,0,0,0
124,1,54.0,0,77.2875,0,1,0
125,3,12.0,0,11.2417,1,0,1
126,3,28.0,0,7.75,0,0,2
127,3,24.0,0,7.1417,0,0,0
128,3,28.0,1,22.3583,1,1,1
129,3,45.0,0,6.975,0,0,0
130,3,33.0,0,7.8958,0,0,1
131,3,20.0,0,7.05,0,0,0
132,3,47.0,1,14.5,1,0,0
133,2,29.0,1,26.0,1,0,0
134,2,25.0,0,13.0,0,0,0
135,2,23.0,0,15.0458,0,0,1
136,1,19.0,1,26.2833,0,2,0
137,1,37.0,0,53.1,1,0,0
138,3,16.0,0,9.2167,0,0,0
139,1,24.0,0,79.2,0,0,1
140,3,28.0,1,15.2458,0,2,1
141,3,22.0,1,7.75,0,0,0
142,3,24.0,1,15.85,1,0,0
143,3,19.0,0,6.75,0,0,2
144,2,18.0,0,11.5,0,0,0
145,2,19.0,0,36.75,1,1,0
146,3,27.0,0,7.7958,0,0,0
147,3,9.0,1,34.375,2,2,0
148,2,36.5,0,26.0,0,2,0
149,2,42.0,0,13.0,0,0,0
150,2,51.0,0,12.525,0,0,0
151,1,22.0,1,66.6,1,0,0
152,3,55.5,0,8.05,0,0,0
153,3,40.5,0,14.5,0,2,0
154,3,28.0,0,7.3125,0,0,0
155,1,51.0,0,61.3792,0,1,1
156,3,16.0,1,7.7333,0,0,2
157,3,30.0,0,8.05,0,0,0
158,3,28.0,0,8.6625,0,0,0
159,3,28.0,0,69.55,8,2,0
160,3,44.0,0,16.1,0,1,0
161,2,40.0,1,15.75,0,0,0
162,3,26.0,0,7.775,0,0,0
163,3,17.0,0,8.6625,0,0,0
164,3,1.0,0,39.6875,4,1,0
165,3,9.0,0,20.525,0,2,0
166,1,28.0,1,55.0,0,1,0
167,3,45.0,1,27.9,1,4,0
168,1,28.0,0,25.925,0,0,0
169,3,28.0,0,56.4958,0,0,0
170,1,61.0,0,33.5,0,0,0
171,3,4.0,0,29.125,4,1,2
172,3,1.0,1,11.1333,1,1,0
173,3,21.0,0,7.925,0,0,0
174,1,56.0,0,30.6958,0,0,1
175,3,18.0,0,7.8542,1,1,0
176,3,28.0,0,25.4667,3,1,0
177,1,50.0,1,28.7125,0,0,1
178,2,30.0,0,13.0,0,0,0
179,3,36.0,0,0.0,0,0,0
180,3,28.0,1,69.55,8,2,0
181,2,28.0,0,15.05,0,0,1
182,3,9.0,0,31.3875,4,2,0
183,2,1.0,0,39.0,2,1,0
184,3,4.0,1,22.025,0,2,0
